Course ID,Subject,Catalog,Long Title,Class Units,Component Code,Component Descr,Pre Requisite Description,Career,Equivalent Courses
26,ACCO,220,Financial and Managerial Accounting,3.0,LEC,Lecture,"Never Taken/Not Registered: ACCO213, ACCO218, ACCO230, ACCO240",UGRD,None
27,ACCO,230,Introduction to Financial Accounting,3.0,LEC,Lecture,"Never Taken/Not Registered: ACCO213, ACCO220, COMM217; Never Taken: ACCO240, ACCO340, ACCO345, ACCO365, ACCO455, ACCO470F, ACCO470I, ACCO470S, ACCO470T, COMM305, COMM308, IBUS471I. JMSB students cannot take this course for credit.",UGRD,None
28,ACCO,240,Introduction to Managerial Accounting,3.0,LEC,Lecture,"Never Taken/Not Registered: ACCO218, ACCO220, COMM305; Never Taken: ACCO310, ACCO330, ACCO350, ACCO355, ACCO470I, IBUS462, IBUS471I, MARK462 At least one of Prerequisite: ACCO213, ACCO230",UGRD,None
35,ACCO,310,Financial Reporting I,3.0,LEC,Lecture,"Corequisite: One of (COMM305, ACCO218, ACCO240) Never Taken: ACCO320, ACCO350",UGRD,ACCO 310 = ACCO 323
43,ACCO,320,Financial Reporting II,3.0,LEC,Lecture,"Prerequisite: One of (ACCO310, ACCO323) Never Taken: ACCO326; ACCO410, ACCO420, ACCO400, ACCO450, ACCO460",UGRD,ACCO 320 = ACCO 326
53,ACCO,330,Cost and Management Accounting,3.0,LEC,Lecture,"Prerequisite: One of (ACCO218, COMM305, ACCO240) Never Taken ACCO303; ACCO430, ACCO470A",UGRD,ACCO 303 = ACCO 330
55,ACCO,340,Income Taxation in Canada,3.0,LEC,Lecture,"Prerequisite: One of (ACCO213, COMM217, ACCO230) Never Taken: ACCO441; ACCO440",UGRD,ACCO 340 = ACCO 441
57,ACCO,350,Accounting and Information Technology,3.0,LEC,Lecture,"Prerequisite: One of (ACCO218, COMM305, ACCO240) One of (COMM226, COMM301) Never Taken: ACCO414",UGRD,ACCO 350 = ACCO 414
58,ACCO,355,Analysis of Financial Statements,3.0,LEC,Lecture,Prerequisite: COMM305; COMM308 or COMM309,UGRD,None
59,ACCO,365,U.S. Federal Taxation,3.0,LEC,Lecture,"Prerequisite: One of (COMM217, ACCO230)",UGRD,ACCO 365 = ACCO 470T
60,ACCO,400,Accounting Theory,3.0,LEC,Lecture,"Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO461",UGRD,ACCO 400 = ACCO 461
86,ACCO,420,Financial Reporting III,3.0,LEC,Lecture,"Prerequisite: One of (ACCO320, ACCO326) Never Taken ACCO335; ACCO480",UGRD,ACCO 335 = ACCO 420
89,ACCO,425,FINANCIAL REPORTING IV,3.0,LEC,Lecture,"Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO410",UGRD,None
92,ACCO,430,Advanced Management Accounting,3.0,LEC,Lecture,"Prerequisite: One of (ACCO303, ACCO330) Never Taken ACCO422; ACCO435",UGRD,ACCO 422 = ACCO 430
97,ACCO,435,STRAT ACCTNG CASE ANALYSIS,3.0,LEC,Lecture,"Prerequisite: ACCO320, ACCO330; Corequisite: COMM401",UGRD,ACCO 435 = ACCO 470A
98,ACCO,440,Advanced Taxation,3.0,LEC,Lecture,"Prerequisite: One of (ACCO340, ACCO441) Never Taken ACCO442; ACCO490",UGRD,ACCO 440 = ACCO 442
104,ACCO,450,Assurance Services,3.0,LEC,Lecture,"Corequisite: One of (ACCO320, ACCO326) Never Taken ACCO429, ACCO432; ACCO465, ACCO470D",UGRD,ACCO 432/ACCO 450/ACCO 360
106,ACCO,455,Fraud Prevention and Investigation,3.0,LEC,Lecture,"Prerequisite: COMM315 or COMM316 and One of following (COMM217, ACCO230)",UGRD,ACCO 455 = ACCO 470F
109,ACCO,465,Advanced Assurance Services,3.0,LEC,Lecture,Prerequisite: One of (ACCO360 or 450) and ACCO320; Never Taken ACCO470,UGRD,ACCO 465 = ACCO 470D
173,ACCO,631,BUSINESS ADVISORY SERVICES,4.0,LEC,Lecture,None,GRAD,None
174,ACCO,635,INTEGRATED APPROACH TO AUDIT,4.0,LEC,Lecture,"Prerequisite: ACCO678, ACCO643; Corequisite: ACCO613",GRAD,None
178,ACCO,651,FINANCIAL REPORTING:COMP APP,4.0,LEC,Lecture,None,GRAD,None
182,ACCO,672,MANAGEMENT ACCOUNTING II,3.0,LEC,Lecture,None,GRAD,None
185,ACCO,681,FINAN L ACCO G/REPORT G III,3.0,LEC,Lecture,None,GRAD,None
186,ACCO,682,COMPREHENSIVE CASE ANALYSIS,3.0,LEC,Lecture,None,GRAD,None
187,ACCO,685,CASE ANALY/INTEG/EXAM PREP,6.0,LEC,Lecture,"At least one of You must complete ALL of the following rules Prerequisite: ACCO613, ACCO631, ACCO635",GRAD,None
189,ACCO,690B,ADV EXAM WRITING TECHNIQUES,1.0,LEC,Lecture,None,GRAD,None
190,ACCO,691,BUSINESS VALUATIONS,3.0,LEC,Lecture,Prerequisite:MBA642,GRAD,None
191,ACCO,695,SEMINAR IN SPECIAL TOPICS,3.0,LEC,Lecture,Prerequisite: MBA607 or MBA642,GRAD,None
40004,ACCO,631T,TUT/BSNSS ADVISORY SERVICES,4.0,LEC,Lecture,None,GRAD,None
40005,ACCO,635T,TUT/INTEGRATED APPRO/AUDIT G,4.0,LEC,Lecture,None,GRAD,None
43001,ACCO,650,FINA REPORTING IN PRACTICE,4.0,LEC,Lecture,Students who have taken ACCO612 and ACCO643 may not take this course for credit,GRAD,None
44001,ACCO,643X,SP TUTORIAL-INCOME TAXATION,1.0,TUT,Tutorial,None,GRAD,None
44002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,4.0,LEC,Lecture,None,GRAD,ACCO 600 = ACCO 650T
44002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,4.0,LEC,Lecture,None,GRAD,None
44003,ACCO,651T,TUTORIAL IN FINA REP/COM APP,4.0,LEC,Lecture,None,GRAD,None
44004,ACCO,653,INFO SYS/INTERNAL CONTROL,4.0,LEC,Lecture,"Prerequisite: ACCO650, ACCO651",GRAD,None
45085,ACCO,652,BUSINESS ADVISORY SERVICES,4.0,LEC,Lecture,"Prerequisite: ACCO650, AntiReq ACCO631",GRAD,None
45114,ACCO,470,SPECIAL TOPICS IN ACCOUNTING,3.0,LEC,Lecture,None,UGRD,None
45884,ACCO,652T,TUTORIAL IN BUSINESS ADV SER,4.0,LEC,Lecture,None,GRAD,None
45885,ACCO,653T,TUTORIAL IN INF SYS/INT.CONT,4.0,LEC,Lecture,None,GRAD,None
46442,ACCO,471,ACCOUNTING SEMINAR,3.0,LEC,Lecture,None,UGRD,None
46443,ACCO,590,SPECIAL SEMINAR/ACCOUNTING,1.0,LEC,Lecture,None,GRAD,None
46444,ACCO,595,SPECIAL TOPICS IN ACCO,3.0,LEC,Lecture,None,GRAD,None
47353,ACCO,655,Taxation and Decision-Making,4.0,LEC,Lecture,PRE-REQ ACCO650 and ACCO651. Anti-Req ACCO643,GRAD,None
