Course ID,Subject,Catalog,Long Title,Class Units,Component Code,Component Descr,Pre Requisite Description,Career,Equivalent Courses
26,ACCO,220,Financial and Managerial Accounting,3.0,LEC,Lecture,"Never Taken/Not Registered: ACCO213, ACCO218, ACCO230, ACCO240",UGRD,
27,ACCO,230,Introduction to Financial Accounting,3.0,LEC,Lecture,"Never Taken/Not Registered: ACCO213, ACCO220, COMM217; Never Taken: ACCO240, ACCO340, ACCO345, ACCO365, ACCO455, ACCO470F, ACCO470I, ACCO470S, ACCO470T, COMM305, COMM308, IBUS471I. JMSB students cannot take this course for credit.",UGRD,
28,ACCO,240,Introduction to Managerial Accounting,3.0,LEC,Lecture,"Never Taken/Not Registered: ACCO218, ACCO220, COMM305; Never Taken: ACCO310, ACCO330, ACCO350, ACCO355, ACCO470I, IBUS462, IBUS471I, MARK462 At least one of Prerequisite: ACCO213, ACCO230",UGRD,
35,ACCO,310,Financial Reporting I,3.0,LEC,Lecture,"Corequisite: One of (COMM305, ACCO218, ACCO240) Never Taken: ACCO320, ACCO350",UGRD,ACCO 310 = ACCO 323
43,ACCO,320,Financial Reporting II,3.0,LEC,Lecture,"Prerequisite: One of (ACCO310, ACCO323) Never Taken: ACCO326; ACCO410, ACCO420, ACCO400, ACCO450, ACCO460",UGRD,ACCO 320 = ACCO 326
53,ACCO,330,Cost and Management Accounting,3.0,LEC,Lecture,"Prerequisite: One of (ACCO218, COMM305, ACCO240) Never Taken ACCO303; ACCO430, ACCO470A",UGRD,ACCO 303 = ACCO 330
55,ACCO,340,Income Taxation in Canada,3.0,LEC,Lecture,"Prerequisite: One of (ACCO213, COMM217, ACCO230) Never Taken: ACCO441; ACCO440",UGRD,ACCO 340 = ACCO 441
57,ACCO,350,Accounting and Information Technology,3.0,LEC,Lecture,"Prerequisite: One of (ACCO218, COMM305, ACCO240) One of (COMM226, COMM301) Never Taken: ACCO414",UGRD,ACCO 350 = ACCO 414
58,ACCO,355,Analysis of Financial Statements,3.0,LEC,Lecture,Prerequisite: COMM305; COMM308 or COMM309,UGRD,
59,ACCO,365,U.S. Federal Taxation,3.0,LEC,Lecture,"Prerequisite: One of (COMM217, ACCO230)",UGRD,ACCO 365 = ACCO 470T
60,ACCO,400,Accounting Theory,3.0,LEC,Lecture,"Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO461",UGRD,ACCO 400 = ACCO 461
86,ACCO,420,Financial Reporting III,3.0,LEC,Lecture,"Prerequisite: One of (ACCO320, ACCO326) Never Taken ACCO335; ACCO480",UGRD,ACCO 335 = ACCO 420
89,ACCO,425,FINANCIAL REPORTING IV,3.0,LEC,Lecture,"Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO410",UGRD,
92,ACCO,430,Advanced Management Accounting,3.0,LEC,Lecture,"Prerequisite: One of (ACCO303, ACCO330) Never Taken ACCO422; ACCO435",UGRD,ACCO 422 = ACCO 430
97,ACCO,435,STRAT ACCTNG CASE ANALYSIS,3.0,LEC,Lecture,"Prerequisite: ACCO320, ACCO330; Corequisite: COMM401",UGRD,ACCO 435 = ACCO 470A
98,ACCO,440,Advanced Taxation,3.0,LEC,Lecture,"Prerequisite: One of (ACCO340, ACCO441) Never Taken ACCO442; ACCO490",UGRD,ACCO 440 = ACCO 442
104,ACCO,450,Assurance Services,3.0,LEC,Lecture,"Corequisite: One of (ACCO320, ACCO326) Never Taken ACCO429, ACCO432; ACCO465, ACCO470D",UGRD,ACCO 432/ACCO 450/ACCO 360
106,ACCO,455,Fraud Prevention and Investigation,3.0,LEC,Lecture,"Prerequisite: COMM315 or COMM316 and One of following (COMM217, ACCO230)",UGRD,ACCO 455 = ACCO 470F
109,ACCO,465,Advanced Assurance Services,3.0,LEC,Lecture,Prerequisite: One of (ACCO360 or 450) and ACCO320; Never Taken ACCO470,UGRD,ACCO 465 = ACCO 470D
173,ACCO,631,BUSINESS ADVISORY SERVICES,4.0,LEC,Lecture,,GRAD,
